"go_id","go_label"
"GO:0098843","postsynaptic endocytic zone (GO:0098843) [CC]"
"GO:0098844","postsynaptic endocytic zone membrane (GO:0098844) [CC]"
"GO:0098845","postsynaptic endosome (GO:0098845) [CC]"
"GO:0098850","extrinsic component of synaptic vesicle membrane (GO:0098850) [CC]"
"GO:0098871","postsynaptic actin cytoskeleton (GO:0098871) [CC]"
"GO:0098888","extrinsic component of presynaptic membrane (GO:0098888) [CC]"
"GO:0098890","extrinsic component of postsynaptic membrane (GO:0098890) [CC]"
"GO:0098891","extrinsic component of presynaptic active zone membrane (GO:0098891) [CC]"
"GO:0098892","extrinsic component of postsynaptic specialization membrane (GO:0098892) [CC]"
"GO:0098894","extrinsic component of presynaptic endocytic zone membrane (GO:0098894) [CC]"
"GO:0098895","postsynaptic endosome membrane (GO:0098895) [CC]"
"GO:0098944","postsynaptic recycling endosome membrane (GO:0098944) [CC]"
"GO:0098965","extracellular matrix of synaptic cleft (GO:0098965) [CC]"
"GO:0098966","perisynaptic extracellular matrix (GO:0098966) [CC]"
"GO:0098992","neuronal dense core vesicle (GO:0098992) [CC]"
"GO:0098993","anchored component of synaptic vesicle membrane (GO:0098993) [CC]"
"GO:0098998","extrinsic component of postsynaptic early endosome membrane (GO:0098998) [CC]"
"GO:0098999","extrinsic component of postsynaptic endosome membrane (GO:0098999) [CC]"
"GO:0099013","neuronal dense core vesicle lumen (GO:0099013) [CC]"
"GO:0099025","anchored component of postsynaptic membrane (GO:0099025) [CC]"
"GO:0099026","anchored component of presynaptic membrane (GO:0099026) [CC]"
"GO:0099029","anchored component of presynaptic active zone membrane (GO:0099029) [CC]"
"GO:0099031","anchored component of postsynaptic density membrane (GO:0099031) [CC]"
"GO:0099033","anchored component of postsynaptic recycling endosome membrane (GO:0099033) [CC]"
"GO:0099055","integral component of postsynaptic membrane (GO:0099055) [CC]"
"GO:0099056","integral component of presynaptic membrane (GO:0099056) [CC]"
"GO:0099059","integral component of presynaptic active zone membrane (GO:0099059) [CC]"
"GO:0099060","integral component of postsynaptic specialization membrane (GO:0099060) [CC]"
"GO:0099061","integral component of postsynaptic density membrane (GO:0099061) [CC]"
"GO:0099063","integral component of postsynaptic recycling endosome membrane (GO:0099063) [CC]"
"GO:0099065","integral component of spine apparatus membrane (GO:0099065) [CC]"
"GO:0099066","integral component of neuronal dense core vesicle membrane (GO:0099066) [CC]"
"GO:0099067","integral component of presynaptic endosome membrane (GO:0099067) [CC]"
"GO:0099091","postsynaptic specialization, intracellular component (GO:0099091) [CC]"
"GO:0099092","postsynaptic density, intracellular component (GO:0099092) [CC]"
"GO:0099143","presynaptic actin cytoskeleton (GO:0099143) [CC]"
"GO:0099147","extrinsic component of postsynaptic density membrane (GO:0099147) [CC]"
"GO:0099160","postsynaptic intermediate filament cytoskeleton (GO:0099160) [CC]"
"GO:0099164","postsynaptic specialization membrane of symmetric synapse (GO:0099164) [CC]"
"GO:0099182","presynaptic intermediate filament cytoskeleton (GO:0099182) [CC]"
"GO:0099189","postsynaptic spectrin-associated cytoskeleton (GO:0099189) [CC]"
"GO:0099243","extrinsic component of synaptic membrane (GO:0099243) [CC]"
"GO:0099523","presynaptic cytosol (GO:0099523) [CC]"
"GO:0099524","postsynaptic cytosol (GO:0099524) [CC]"
"GO:0099544","perisynaptic space (GO:0099544) [CC]"
"GO:0099569","presynaptic cytoskeleton (GO:0099569) [CC]"
"GO:0099571","postsynaptic cytoskeleton (GO:0099571) [CC]"
"GO:0099572","postsynaptic specialization (GO:0099572) [CC]"
"GO:0099629","postsynaptic specialization of symmetric synapse (GO:0099629) [CC]"
"GO:0099634","postsynaptic specialization membrane (GO:0099634) [CC]"
"GO:0099699","integral component of synaptic membrane (GO:0099699) [CC]"
"GO:0150050","postsynaptic septin cytoskeleton (GO:0150050) [CC]"
"GO:0150051","postsynaptic Golgi apparatus (GO:0150051) [CC]"
"SYNGO:postsyn_er","postsynaptic ER [CC]"
"SYNGO:postsyn_er_membrane_integral","integral component of postsynaptic ER membrane [CC]"
"SYNGO:postsyn_proteasome","postsynaptic proteasome [CC]"
"SYNGO:postsyn_ribosome","postsynaptic ribosome [CC]"
"SYNGO:postsyn_ser","postsynaptic SER [CC]"
"SYNGO:postsyn_ser_membrane_integral","integral component of postsynaptic SER membrane [CC]"
"SYNGO:presyn_er","presynaptic ER [CC]"
"SYNGO:presyn_er_membrane_integral","integral component of presynaptic ER membrane [CC]"
"SYNGO:presyn_proteasome","presynaptic proteasome [CC]"
"SYNGO:presyn_ribosome","presynaptic ribosome [CC]"
"SYNGO:presyn_ser_membrane","presynaptic SER membrane [CC]"
"SYNGO:presyn_ser_membrane_integral","integral component of presynaptic SER membrane [CC]"
