"go_id","hgnc_symbol"
"GO:0099171","PRKCE"
"GO:0099171","SYT12"
"GO:0099171","YWHAH"
"GO:0099173","ABI2"
"GO:0099173","ACTR3"
"GO:0099173","ADAM10"
"GO:0099173","ARHGAP39"
"GO:0099173","CD44"
"GO:0099173","CNKSR2"
"GO:0099173","DLG5"
"GO:0099173","DVL1"
"GO:0099173","FZD9"
"GO:0099173","HIP1R"
"GO:0099173","IQSEC3"
"GO:0099173","ITGA3"
"GO:0099173","LAMA5"
"GO:0099173","NRP1"
"GO:0099173","SEPTIN7"
"GO:0099173","SPTBN2"
"GO:0099173","STK38"
"GO:0099173","STK38L"
"GO:0099173","WASF2"
